id,highway,maxspeed,lit,sidewalk,n_nodes,lat,lon,safety_score
4354938,service,,,,7,12.989564271428572,77.6354972142857,50
4354952,footway,,no,,35,12.982975588571428,77.6182135,50
8294886,tertiary,,,,5,12.98412334,77.57823184,54
8680571,secondary,,,separate,26,12.948909892307691,77.62018736153847,48
8681388,primary,,yes,,15,12.96613342,77.61516760666667,60
8681855,primary,,,separate,5,12.95507326,77.58561108,50
8687347,residential,,,,4,12.960768575,77.589043,55
15802887,primary,,,,8,12.9605203875,77.6417083125,45
22562303,primary,,yes,separate,3,12.952198966666666,77.59071110000001,65
22893740,primary,,yes,,5,12.96780506,77.58791292,65
23000429,residential,,,,4,12.95781315,77.6037978,55
23001158,residential,,,,4,12.9586496,77.603823275,55
23001159,residential,,,,4,12.958178275,77.60447852499999,55
23004003,residential,,,,2,12.95646455,77.60532595000001,55
23004004,residential,,,,7,12.956310885714286,77.6048627142857,50
23004005,residential,,,,4,12.958641775,77.60313885,55
23018325,tertiary,30.0,,separate,3,12.962395266666666,77.59515693333333,74
23029249,residential,20.0,,,6,12.96310095,77.60023626666667,70
23029251,tertiary,40.0,yes,separate,10,12.96446033,77.60102541,74
23029256,footway,,yes,,6,12.963187233333334,77.60174538333332,75
23029257,footway,,yes,,21,12.963528271428572,77.60174191904761,75
23029258,footway,,yes,,3,12.963499766666668,77.602006,80
23029259,footway,,yes,,3,12.963761933333332,77.6017698,80
23029260,footway,,yes,,4,12.96356125,77.60138512500001,80
23029261,footway,,yes,,17,12.963496047058824,77.60171980588235,75
23029262,footway,,yes,,9,12.963562677777778,77.60167627777778,75
23029263,residential,,,,3,12.963865666666663,77.60636026666667,55
23029264,tertiary,,,,13,12.955335015384616,77.60337379230769,49
23029265,residential,,,,3,12.961751633333334,77.59888236666667,55
23029281,tertiary,,yes,separate,19,12.967449689473684,77.6032517368421,64
23029282,residential,,,,15,12.962741206666667,77.60304840666666,50
23029283,residential,,,,7,12.964624,77.60250212857143,50
23029284,secondary,,,both,16,12.96996383125,77.60656420625,58
23029690,secondary_link,,,,6,12.972172666666664,77.60720705,50
23029691,residential,,,,8,12.97387685,77.6094249,50
23029696,secondary,25.0,,separate,14,12.972432728571428,77.60388052142856,68
23029699,unclassified,,,separate,7,12.974402357142855,77.60293437142856,50
23029701,tertiary,25.0,,separate,22,12.969916445454546,77.60064548181818,69
23029705,tertiary,,,separate,11,12.973177663636363,77.60010973636363,49
23029706,tertiary,,,,8,12.972935125,77.601196775,49
23029710,tertiary,,,,20,12.97130559,77.596393225,49
23029715,residential,,,,8,12.975537225,77.6007415375,50
23029716,primary_link,,,separate,5,12.971421420000002,77.60686212,55
23030048,residential,,,,3,12.964499033333333,77.60120736666666,55
23030050,residential,,,,4,12.962160075,77.59818250000001,55
23030052,residential,,,,7,12.964367342857145,77.59802077142857,50
23030057,residential,,,,11,12.963636427272728,77.6042966909091,50
23030059,residential,,,,8,12.961572875,77.604061475,50
23036323,primary,,,,9,12.956337988888889,77.5810773888889,45
23038845,residential,,,,5,12.9603674,77.60266440000001,55
23038847,residential,,,,2,12.96513715,77.60316295,55
23038848,residential,,,both,8,12.9618219875,77.6019988625,60
23046218,trunk,40.0,,,42,12.956348254761906,77.54868817857144,50
23054647,secondary,,,,10,12.95298867,77.57995414,48
23075565,secondary,,,,8,12.9590036875,77.5673194375,48
23075568,tertiary,,,separate,5,12.959669600000002,77.56946908,54
23076199,secondary,,,,14,12.960400971428571,77.56522467142858,48
23076215,primary,,,separate,15,12.95701832,77.56353269333334,45
23076275,tertiary,,,separate,11,12.987823627272729,77.59127102727273,49
